पूछना है जीत का पता,['पाश ही बेट कर पंखा करने लगी'],['पाश ही बेट कर पंखा करने लगी'],140.0
वर्गीज कुरियन के बारे में,['और जानते हो अमाँ इस्कूटर चलाना सीकना चाहती है'],['और जानते हो अमाँ इस्कूटर चलाना सीकना चाहती है'],180.0
मुंशीअच्छी बात है तुम लोग रोटीदाल खाना,['उस इमा ने का कोई मात मा है'],['उस इमा ने का कोई मात मा है'],114.28571428571428
फिर अलगू चौधरी को,['जिन्हों ने पाकिस्तान ज़ाने के बज़ा ए भारत'],['जिन्हों ने पाकिस्तान ज़ाने के बज़ा ए भारत'],200.0
के मन में कपट का भाव न था,['यह है हवा'],['यह है हवा'],100.0
जुम्मन को इस समय सदस्यों में विशेषकर वे ही लोग दीख पड़े,['मोलुँ साब ने कुर रथे का'],['मोलुँ साब ने कुर रथे का'],100.0
दोनों की प्रसन्नता का कोई ठिकाना नहीं था और,['इसके बाद थिरुबहवन दासत नहेए'],['इसके बाद थिरुबहवन दासत नहेए'],100.0
बेटा भगवान कभी रंग नहीं देखते हैं तुमने कृष्ण जी की कहानी सुनी थी ना,['पनतिम्बा शर्डाभी है'],['पनतिम्बा शर्डाभी है'],100.0
पंच की जबान से खुदा बोलता है,['मुसके चेड़े पर शेा खे दाख थे'],['मुसके चेड़े पर शेा खे दाख थे'],100.0
बड़ा पागल है,['मिल्होंने वाली भारती रास्तरे कोंगड़सके'],['मिल्होंने वाली भारती रास्तरे कोंगड़सके'],166.66666666666669
अचानक सड़क की ओर शोरगुल सुनाई दिया,['भालू दादा ने गोद उठाया'],['भालू दादा ने गोद उठाया'],100.0
स्त्रियॉँ स्वभावतः लज्जावती होती हैं,['उन्हे यह नीटी शंगत मालूम होता है की'],['उन्हे यह नीटी शंगत मालूम होता है की'],160.0
फिर हाथ को थाली में रख दिया,['वैसे सीथीज़ में आका थोर सिनदू खा'],['वैसे सीथीज़ में आका थोर सिनदू खा'],100.0
इसलिए मैंने इसे लिया,['छककन नाल की अन्त्ु तीशे संदे पेदा कर लिया'],['छककन नाल की अन्त्ु तीशे संदे पेदा कर लिया'],225.0
वे गौशाला में गायों को देख रहे थे,['मकद मे कहाल सुनातो सननाटे मे आ गये'],['मकद मे कहाल सुनातो सननाटे मे आ गये'],100.0
यमुना किनारे उनका अंतिम,['गानदी उसमारएक मिजमीं थाई'],['गानदी उसमारएक मिजमीं थाई'],100.0
चंपा एकांत में एकदूसरे के सामने बैठे थे,['यह सुन का राजा बहुत पर सन हुए'],['यह सुन का राजा बहुत पर सन हुए'],100.0
की सुगंध का आनंद लेने लगा,['वहम दाससुने छोड़ का रअपनी पतनी'],['वहम दाससुने छोड़ का रअपनी पतनी'],100.0
कोई ये कहेगा,['एक गराते जुद कर रहे थे'],['एक गराते जुद कर रहे थे'],200.0
तो वह उसके इस त्याग के एकएक कतरे को सार्थक करना चाहती थी,['ने बारत की राज़ मे टेक बहुतसे पर बाथ'],['ने बारत की राज़ मे टेक बहुतसे पर बाथ'],100.0
की लड़ाई लड़ी और,['हो गये अमर बली दाने'],['हो गये अमर बली दाने'],125.0
वे सब यहीं पर मौजूद है,['बीड़ के साथ डाडी जयाथरा नि खाली और'],['बीड़ के साथ डाडी जयाथरा नि खाली और'],133.33333333333331
लूटा लूटा किसने उसको ऐसे लूटा,['अब अखेला बैल की सकामका'],['अब अखेला बैल की सकामका'],100.0
डॉक्टर वसंत नीचे उतरे,['दादाजी थाके थाके कुछ बिमार से लग रहे थे'],['दादाजी थाके थाके कुछ बिमार से लग रहे थे'],225.0
एक पैसा देकर जाओ,['हम्मुल की सपलटा को देखते हुए'],['हम्मुल की सपलटा को देखते हुए'],150.0
कोई इक्केताँगे पर सवार,['पा उसके सारे बजले पर छड़गी'],['पा उसके सारे बजले पर छड़गी'],125.0
हम प्रत्यक्ष देख रहे हैं कि पाप से उसे कैसी घृणा होती है,['फिर वो बार चले जाते'],['फिर वो बार चले जाते'],100.0
एक दिन मीनू ने पेपर में एड देखा,['उनका परिवार एक अमिर खान दान था'],['उनका परिवार एक अमिर खान दान था'],100.0
अचानक किसी ने उनका दरवाज़ा खटखटाया,['चम्पा के दूसरे पाथ में एक मनोरम शेल माला ते'],['चम्पा के दूसरे पाथ में एक मनोरम शेल माला ते'],166.66666666666669
इतिहास के कुछ रोचक तथ्य,['माराज़ यह सुन कर बहुत परसनुए वह सुम नगर के बाहर गये'],['माराज़ यह सुन कर बहुत परसनुए वह सुम नगर के बाहर गये'],240.0
लेकिन वह अड़ा रहा और बोला कि यह हमारा कर्त्तव्य है,['मुझे लग रा था कि खुछ होने भाला है'],['मुझे लग रा था कि खुछ होने भाला है'],90.9090909090909
उनकी अपनी जेबों में तो,['एक तरप नियाए का शरीर था'],['एक तरप नियाए का शरीर था'],120.0
मैं पसीनापसीना हो गया,['मोरु ज़मीन पर बैड़ गया'],['मोरु ज़मीन पर बैड़ गया'],125.0
शादी कस्तूरबा से कर दी गई,['बाज्दम ए गुशन सी सम्मारेथ किया था'],['बाज्दम ए गुशन सी सम्मारेथ किया था'],116.66666666666667
हम और तुम पुराने दोस्त हैं,['रुके रुके मैं चिल्ला ता हुा पेड़ की और दोड़ा'],['रुके रुके मैं चिल्ला ता हुा पेड़ की और दोड़ा'],166.66666666666669
गाँधी जी के व्याख्यान सुनते,['तुम को आना होगा मोटे पुली सवाले ने गाया'],['तुम को आना होगा मोटे पुली सवाले ने गाया'],180.0
उनमें आत्माभिमान की मात्रा अधिक होती है,['बस अब ए गी उफ़ाई है'],['बस अब ए गी उफ़ाई है'],100.0
मैं अपने कमरे में चला गया,['बाहर एक बड़ा कालाज़ हिड़ियाँ खड़ाता'],['बाहर एक बड़ा कालाज़ हिड़ियाँ खड़ाता'],100.0
बड़का तुम्हारी बड़ी तारीफ कर रहा था,['वह मैईमा की परती मा'],['वह मैईमा की परती मा'],100.0
मैं अपने बच्चों को लेकर इस घर में न रहूँगी,['पर ज़ो का नाम क्यों नहईं बच्ता देहता'],['पर ज़ो का नाम क्यों नहईं बच्ता देहता'],100.0
और गांधी को जेल से रिहा करने,['यह अन्मान लगा पाना मुशकिल होता है'],['यह अन्मान लगा पाना मुशकिल होता है'],100.0
घबरा कर इधरउधर देखा,['फिर भी उस उमर्में महुन दास खो'],['फिर भी उस उमर्में महुन दास खो'],175.0
किसान सब लोगों के खाने के लिए ढेरों के ढेर पोंख के दानों को,['माराँन चाहएँगे क तुम भी इससे रुकना पाहो गयै'],['माराँन चाहएँगे क तुम भी इससे रुकना पाहो गयै'],100.0
मेरी सर्वस्व हो,['दने उस रोपड़ी के पास तोंछा जा गदीजी ठहरे थे'],['दने उस रोपड़ी के पास तोंछा जा गदीजी ठहरे थे'],333.33333333333337
बोला,['वहाँ आप को क्या चाहईी है'],['वहाँ आप को क्या चाहईी है'],600.0
तब वह कुछ देर वहीं खड़े होकर मिठाइयों,['आगर नहई है बड़ा औस प्यार है'],['आगर नहई है बड़ा औस प्यार है'],100.0
तो नाम ही नहीं सुना था,['एक गंटे बाध एक नीली कार पेड़ के पास आकर रुकी'],['एक गंटे बाध एक नीली कार पेड़ के पास आकर रुकी'],183.33333333333331
पर हमसे ऋण चुकाने का कोई तकाजा न,['अब अपने आत मा के रकसाँ कर सकता हूँ'],['अब अपने आत मा के रकसाँ कर सकता हूँ'],112.5
सिद्धेश्वरी ने खाने की थाली सामने लाकर रख दी और,['कै पी ज़ूल नाक पाया'],['कै पी ज़ूल नाक पाया'],100.0
अब बारिशें रुक चुकी हैं और अभी सर्दी का मौसम नहीं आया है,['तू तो चालाता सबन हीं लेके'],['तू तो चालाता सबन हीं लेके'],100.0
पक्की जगत के नीचे तक,['परहोंने वाले गि रोद पर्द सुनों को बाती हमाज़ के सभी भरगो'],['परहोंने वाले गि रोद पर्द सुनों को बाती हमाज़ के सभी भरगो'],220.00000000000003
लेकिन उनकी एक सकरात्मक सोच ने दूध के,['वह चम्पा को रानी कहती'],['वह चम्पा को रानी कहती'],100.0
और तुम्हें चीरफाड़ कर कच्चा खा जाऊँगा,['पवन थर रा थाहथा'],['पवन थर रा थाहथा'],100.0
भानुकुँवरि ने कहामुझे क्या खबर,['जहा से अमल का जन्म हुआ'],['जहा से अमल का जन्म हुआ'],120.0
के दौरान ही गांधी ने,['वह खड़ा हुआ और कमले से बाहर भाग'],['वह खड़ा हुआ और कमले से बाहर भाग'],160.0
इस क़ानून के तहत सरकार,['फिर तीसरी मछली आई'],['फिर तीसरी मछली आई'],100.0
वह जानती थी कि वह इसी दिन के लिए बनी है,['साती नहीं रहेगी'],['साती नहीं रहेगी'],100.0
सुशीला तमिलनाडु में रहती है,['हम सीरीछे सामने उन की दान नक जलने पाहती'],['हम सीरीछे सामने उन की दान नक जलने पाहती'],180.0
जो बहुत स्वादिष्ट होता है,['सम्जु खड़े हुए और कड़क कर बोले मेरी और से जम्मन चेक'],['सम्जु खड़े हुए और कड़क कर बोले मेरी और से जम्मन चेक'],240.0
जिंदगी का कौन ठिकाना है जो काम करना है,['अम्मा ज़ोर से बोलीं मुझे वो वाला थाईये वो काला वाला'],['अम्मा ज़ोर से बोलीं मुझे वो वाला थाईये वो काला वाला'],122.22222222222223
उन्होंने भी यही कहा कि अब दावे में जरा भी जान नहीं है,['अचानक एक दमाका हुआ उनका अबुआ शीडी से टकरा कर गिर गया था'],['अचानक एक दमाका हुआ उनका अबुआ शीडी से टकरा कर गिर गया था'],100.0
हम सब सारी रात जागेंगे,['हम्मा मउसकराने लगी अन्ील भी मशकराने लगा'],['हम्मा मउसकराने लगी अन्ील भी मशकराने लगा'],140.0
मेरा पेट पहले ही भर चुका है,['अपने अगली टाँगे भी सेक लूँगा'],['अपने अगली टाँगे भी सेक लूँगा'],100.0
तो गांधी ने इसे अपने पाप के लिए,['जो सदा आप नभी मानी शे हिर उठा कर चलता रहा हो'],['जो सदा आप नभी मानी शे हिर उठा कर चलता रहा हो'],150.0
फिर सूचना दी,['लिकसक को कुछ रहात मिली और'],['लिकसक को कुछ रहात मिली और'],200.0
उर्मी हतप्रभ रह गई कांता की गोद से बच्चे को लेते हुए बोली,['एक दिन मर गयी'],['एक दिन मर गयी'],100.0
फिर खाने लग गया,['जुम्मन सेक तो इसे संकलब बिकरत मे पड़े हुए थेहखी'],['जुम्मन सेक तो इसे संकलब बिकरत मे पड़े हुए थेहखी'],250.0
इस अंधकार और निराशा में वह डूबी जा रही है,['यह रिया ऐ करे तो उनकी बल मन सी'],['यह रिया ऐ करे तो उनकी बल मन सी'],100.0
जो उन्होंने फ़ौरन स्वीकार कर लिया,['बड़ पड़ेसन मे मदत करता है'],['बड़ पड़ेसन मे मदत करता है'],100.0
रमज़ान के पूरे तीस रोजों के बाद ईद आई है,['योवन की पहले लहरों को जागाने लगी'],['योवन की पहले लहरों को जागाने लगी'],100.0
सारे मेले में तुझे और कोई चीज़ न मिली जो,['इसक मुह देक लिया तो मोहैँ पेई डाहो जाएगा'],['इसक मुह देक लिया तो मोहैँ पेई डाहो जाएगा'],100.0
बाधाऍं आ खड़ी हुई,['मिंन नही मत्से को वहर ची का रवाना से भागा'],['मिंन नही मत्से को वहर ची का रवाना से भागा'],250.0
जब हम राह भूल कर भटकने लगते हैं,['कूपैर का धन भरा हुआ है'],['कूपैर का धन भरा हुआ है'],100.0
वैसे अभी ज़्यादा सर्दी नहीं है,['इसलिए हा मिद परसनने है'],['इसलिए हा मिद परसनने है'],100.0
तेनालीराम को गिरफ्तार करके हमारे सामने पेश किया जाए,['मेर नहींन्हें करना अज थम्बा उ थाकी'],['मेर नहींन्हें करना अज थम्बा उ थाकी'],100.0
बाहर फिंकवा दिया,['खनकियों से कानता बाए को सपाई करते हुए देक रहे थे'],['खनकियों से कानता बाए को सपाई करते हुए देक रहे थे'],366.66666666666663
जिससे कि मेरी ताकत लौट आये,['इसशेरियाँ करोत के बाथ किशे इन्ह किसे बाने रोया करती है'],['इसशेरियाँ करोत के बाथ किशे इन्ह किसे बाने रोया करती है'],183.33333333333331
